timestamp,fhr,uc
201,145.75,5.5
202,145.25,3.5
203,145.25,1.5
204,147.5,1.5
205,147.5,2
206,147.5,4
207,147.5,2.5
208,147.5,1.5
209,147.5,0
210,147.25,0
211,147.25,0
212,147.25,0
213,151,0
214,154.75,0
215,154.75,0
216,152.75,0
217,152,0
218,152,0
219,151.25,0
220,152.25,0
221,152.25,0
222,152.25,0
223,152.25,0
224,152.25,1
225,152.25,0
226,152.25,0
227,152.25,0
228,152.25,0
229,152.5,0
230,145,0
231,145,0
232,145,0
233,145,0
234,143.75,0
235,142,0
236,142,0
237,142.25,0
238,142.25,0
239,141.5,0
240,142.25,0
241,142.25,0
242,142.25,0
243,142.25,0
244,141.75,0
245,141.75,0
246,142,0
247,142,0.5
248,142,1
249,142,1
250,142,0
251,142,0.5
252,142.25,1.5
253,142.25,3
254,142,3
255,142,2.5
256,142.75,2
257,142.75,2.5
258,143,3
259,143,3
260,143.25,3
261,143.25,2.5
262,143.75,3
263,143.75,3
264,155.5,2
265,155.5,2
266,151.75,2.5
267,151,2
268,151,2
269,151,1.5
270,151,2
271,151,2.5
272,151,2
273,151,2
274,151,2
275,151,1.5
276,151,1.5
277,144.25,1.5
278,144.25,1.5
279,144.5,2.5
280,144.5,3
281,143.5,3
282,142.25,2
283,142.25,2
284,141.75,2
285,141.75,3.5
286,140.75,4.5
287,141.5,4.5
288,141.5,3
289,141,3
290,139.5,2.5
291,139.5,3
292,140,3.5
293,140,3.5
294,140,3
295,139.75,3
296,139.75,3
297,139.75,4.5
298,139.75,4
299,140,3
300,140,3
301,140,4
302,139.75,4
303,139.75,4
304,0,4.5
305,0,5
306,0,5.5
307,0,5.5
308,0,5
309,0,5
310,0,4
311,0,4
312,137.25,4.5
313,136,4
314,136,5
315,137,4.5
316,137,4
317,136.25,4
318,136.25,3
319,136.75,3
320,136.75,3
321,135.75,3
322,136.25,3.5
323,136.25,2
324,136.5,2
325,136.5,2.5
326,135.75,1.5
327,135.75,1
328,135.75,1.5
329,135.75,2
330,135.75,1
331,137,1
332,137,1.5
333,138.75,0.5
334,138.75,0.5
335,139.5,0.5
336,140.5,0
337,140.5,0.5
338,140.25,1
339,141,1
340,141,1
341,143.25,1.5
342,143.25,3
343,143.25,3.5
344,143.25,3
345,142.5,3.5
346,141.5,4.5
347,141.5,6.5
348,141.5,5.5
349,141.5,4
350,141.5,4
351,141,4
352,141,3.5
353,141.25,3
354,141.25,3
355,140.75,3
356,140.75,2
357,142,2.5
358,143,3
359,143,3.5
360,143,5
361,143,4
362,144,2.5
363,145,2.5
364,145,2.5
365,146,3.5
366,145.75,3.5
367,145.75,4
368,146,4
369,146,4
370,147,3.5
371,147.75,3.5
372,147.75,3
373,147.75,4
374,148.75,4
375,148.75,4
376,150,5
377,150,4.5
378,149.25,4.5
379,151,4.5
380,151,5
381,151,6
382,151.25,6.5
383,151.25,7
384,152,6
385,152,6
386,152.5,6
387,152.5,7
388,152.5,7.5
389,154,6.5
390,154,7.5
391,153,8
392,153,8.5
393,154.5,9
394,156.75,8.5
395,157,8.5
396,157,9
397,153,10.5
398,153,11
399,154.5,11.5
400,154.5,11.5
401,155,13.5
402,155,12.5
403,154.75,12
404,155,12
405,155,13.5
406,155.5,15.5
407,154,16
408,154,15
409,154.25,13.5
410,155.5,13.5
411,155.5,13
412,155.25,14.5
413,153.75,16.5
414,153.75,14.5
415,153.25,13.5
416,152.75,13.5
417,152.75,13
418,151.75,13
419,151.25,13.5
420,151.25,15.5
421,149.75,15.5
422,149.75,14.5
423,150,14
424,150,12.5
425,150.5,12
426,149,13.5
427,149,13.5
428,148,14
429,148,13
430,147.75,12
431,149.75,13
432,148.25,12
433,148.25,14
434,149.75,16
435,150.25,17
436,150.25,18
437,151,19
438,150.75,23
439,150.75,22.5
440,151,26
441,151.75,27.5
442,151.75,25
443,151.75,27
444,151.75,29.5
445,151.75,27.5
446,151.75,27
447,152,28
448,151.75,23
449,151.75,22
450,154.25,21
451,156.25,20
452,156,18.5
453,156,19
454,154.25,19.5
455,154.75,18.5
456,154.75,17.5
457,154.75,17.5
458,154.75,17
459,154.75,17
460,154.75,18.5
461,155,17
462,155,16
463,155,16
464,156.75,16
465,156.75,15.5
466,163.75,15.5
467,164.25,14.5
468,163.25,16
469,163.25,14.5
470,160.75,14.5
471,160,15
472,160,15.5
473,159.25,16.5
474,159,16
475,159,16
476,159,16
477,158.75,17.5
478,158.75,18.5
479,158.75,20
480,158.75,20.5
481,159,21.5
482,158.75,21.5
483,158.75,22
484,158.5,22.5
485,159,24.5
486,159,25.5
487,158,26
488,157,25.5
489,157.25,27
490,157.25,28.5
491,156.75,29
492,156.75,29
493,156.75,31
494,157,30.5
495,157,29.5
496,156.25,29.5
497,156,29.5
498,156,31
499,156,30.5
500,154.25,33
501,154.25,34.5
502,155,32.5
503,155,34
504,154.25,35
505,154.5,34.5
506,154.5,35.5
507,154.25,37.5
508,155.25,39
509,155.25,39
510,154.25,40
511,154.5,42
512,154.5,42.5
513,153,42
514,153,45
515,152,45
516,153,45
517,153,47
518,152.75,49
519,151.5,51
520,151.5,51.5
521,152.75,54.5
522,153.75,50
523,153.75,50
524,151.25,51.5
525,151.25,53
526,151.25,53.5
527,151.25,52.5
528,151.25,52
529,151.25,48.5
530,151.5,49.5
531,159,50.5
532,159,51.5
533,157.75,50
534,157.75,49.5
535,158.5,48.5
536,157.25,51.5
537,157.25,50.5
538,157,48.5
539,157,49.5
540,157,47
541,156.75,49.5
542,156,49
543,156,49
544,155.75,49.5
545,155.75,48
546,155.25,45.5
547,155.25,51
548,155.25,47
549,151,48.5
550,149.25,47.5
551,149.25,42.5
552,147.25,48
553,145.5,45.5
554,145.5,45.5
555,144.25,47.5
556,144.25,45.5
557,141,45.5
558,139.5,46.5
559,139.5,46.5
560,138.25,48
561,138.25,47
562,136.25,48.5
563,136.25,47.5
564,134.25,49
565,132.25,48.5
566,132.25,50
567,130.25,47.5
568,130.25,43.5
569,127,46.5
570,127,51
571,125.25,50.5
572,125.25,49.5
573,124.5,45
574,124.5,47
575,123.5,46.5
576,123.5,47.5
577,123.5,46
578,123.5,45
579,124,45.5
580,124,43.5
581,124.5,43
582,124.5,44
583,125,46.5
584,125,48.5
585,124.75,44
586,124.75,43
587,124,44.5
588,124,43
589,124,46.5
590,124,47
591,123,45.5
592,123,46
593,123,45.5
594,123,46.5
595,123,49
596,123,49.5
597,120.75,46.5
598,120.75,44.5
599,119,45
600,119,45.5
601,118.75,41.5
602,118.75,42.5
603,120.25,45.5
604,120.25,44.5
605,120.25,43.5
606,120.25,39
607,120,40.5
608,120,40
609,120.25,40.5
610,120.25,41
611,120.25,40.5
612,120.25,41
613,116.5,40
614,116.5,41
615,116.5,41
616,116.5,41
617,116.5,40
618,116.5,40
619,116.25,39
620,116.25,39
621,116.5,39.5
622,116.5,40
623,123,39.5
624,121.75,38.5
625,121.75,37.5
626,121.5,37
627,121.5,37
628,121.75,36
629,121.75,37
630,121.25,36
631,121.25,35
632,121.75,34
633,121.75,34.5
634,122,34
635,122,34.5
636,123,35
637,123,32.5
638,123.5,32.5
639,123.5,31.5
640,124.75,31
641,124.75,30.5
642,128,30.5
643,128,29
644,130.75,28.5
645,131,29
646,131,29
647,131.5,28.5
648,131.5,27
649,131,27
650,131,26.5
651,131.25,26.5
652,131.25,26
653,131.5,26
654,131.5,26.5
655,132,26
656,132,27
657,132,25
658,130.75,24
659,130.75,23.5
660,131,23
661,131,24
662,131.5,23
663,131.5,23
664,132,22.5
665,132,24
666,133.5,23
667,133,22
668,133,21.5
669,132.5,20.5
670,132.5,20
671,134.25,20
672,134.25,19
673,132.5,18.5
674,132.5,19
675,132,18.5
676,132,18.5
677,130.75,18
678,131,18
679,131,18
680,130.75,17.5
681,130.75,17.5
682,130.75,17
683,130.75,17
684,130,16.5
685,130,16
686,132,15.5
687,134,16
688,134,15
689,135.25,15
690,135.25,16
691,135,14.5
692,135,15.5
693,137.5,16
694,137.25,17
695,137.25,17.5
696,136.75,18.5
697,136.75,19
698,138,19.5
699,138,20
700,137.25,19.5
701,139.5,20
702,139.5,20
703,138.5,20.5
704,138.5,21
705,138.5,20
706,138.5,20
707,137.75,19.5
708,136.75,20
709,136.75,19.5
710,136.25,19.5
711,136.25,19
712,136.75,19
713,136.75,19
714,137.25,19
715,137.25,19
716,137.25,19
717,137,19.5
718,137,18.5
719,137,19
720,137,18.5
721,136.75,18.5
722,136.5,18
723,136.5,17.5
724,138,18
725,138,18.5
726,138.5,19
727,138.5,19
728,138.5,18.5
729,138.5,16.5
730,138.5,16
731,139,16.5
732,139,17
733,138.75,16
734,139.5,15
735,139.5,15
736,139.5,15
737,139.5,15
738,138.25,14.5
739,138.25,13.5
740,138,13.5
741,137.25,13.5
742,137.25,13.5
743,136.75,13
744,136.75,13
745,137.75,12.5
746,137.75,12.5
747,138.5,12.5
748,139,12
749,139,12
750,140,11.5
751,140,12
752,140.5,11.5
753,140.75,11.5
754,140.75,11.5
755,140.5,11
756,140.5,11
757,138.75,10.5
758,138.75,11
759,138.75,10.5
760,139.5,10.5
761,139.5,10.5
762,140.75,10
763,140.75,10.5
764,140.75,10.5
765,140.75,12
766,140.75,14
767,140.75,11
768,140.75,13
769,140.75,12
770,140.75,11.5
771,141,11.5
772,141,12.5
773,144.5,13
774,146.25,13.5
775,146.25,13.5
776,146.5,13
777,146.5,13
778,146.5,13
779,146.25,12
780,146.25,12.5
781,146.75,12.5
782,146.75,13
783,147,12.5
784,147,12
785,147,11.5
786,145.5,11.5
787,145.5,10.5
788,143.75,9.5
789,143,10
790,143,10.5
791,140.75,14
792,140.75,9.5
793,141.5,11.5
794,141.5,10
795,140.75,10
796,140.75,10
797,140.75,10
798,140.25,10
799,139.25,9.5
800,139.25,9.5
801,137.75,9.5
802,137.75,9.5
803,136.5,9.5
804,136.25,9
805,136.25,9
806,135,8.5
807,135,9
808,135,8.5
809,136.5,9
810,136.5,9.5
811,138.25,9.5
812,138.25,9.5
813,137.75,9.5
814,137.75,9.5
815,137.5,9
816,137.5,9.5
817,137.5,9.5
818,136.25,9.5
819,136.25,10
820,136.25,9.5
821,136.25,15
822,136.25,11.5
823,136.25,9.5
824,136.25,10.5
825,136.5,10
826,136.5,10
827,136.5,10.5
828,136.5,10
829,139.5,10
830,140,10
831,140,9.5
832,140.75,10
833,140.75,9.5
834,141.25,9.5
835,140.75,9.5
836,140.75,11
837,140.75,11
838,140.75,10.5
839,140.5,10.5
840,140.5,10.5
841,139.25,10
842,138.5,10.5
843,138.5,10
844,137.75,10.5
845,137.75,10
846,136.75,10
847,136.75,10
848,135.75,9.5
849,135,9.5
850,135,9.5
851,133.5,9
852,133.5,9.5
853,134,9
854,134,9
855,134.25,9
856,134.25,8.5
857,135,9
858,134.75,8.5
859,134.75,8.5
860,135.75,8.5
861,135.75,8
862,136.5,8.5
863,137,8
864,137,8
865,138.5,8.5
866,138.5,8
867,139.25,8
868,139.25,8.5
869,139.25,8
870,139,8
871,139,8
872,139.5,8
873,139.5,8
874,138.5,8
875,138.5,8
876,139.25,8
877,139,9.5
878,139,11.5
879,139,11
880,139,10
881,141,10
882,140.5,10
883,140.5,9.5
884,140.75,9.5
885,140.75,9
886,142.25,9
887,141.75,9
888,141.75,9
889,143.5,9
890,143.5,9
891,143.25,9
892,142.75,8
893,142.75,8.5
894,142.25,9
895,142.25,9
896,141,8.5
897,141,9
898,141.75,9
899,141,9
900,141,9.5
901,140.25,9.5
902,140.25,9.5
903,139.5,9.5
904,139.5,9.5
905,139.5,9.5
906,139,9.5
907,139,9.5
908,138,10
909,138,10
910,138,10
911,139.25,10
912,139.25,10
913,139.25,10.5
914,139.25,10
915,138.5,10.5
916,138.5,11
917,139.25,11
918,139.25,11
919,139.25,10.5
920,137.5,11
921,137.5,11
922,136.75,11
923,136.75,11
924,138,11.5
925,138.5,12.5
926,138.5,12
927,140,12
928,140,11.5
929,139.5,11.5
930,139.5,11.5
931,139.5,11.5
932,139.25,12
933,139.25,11.5
934,139.25,11.5
935,139.25,11.5
936,137.75,11
937,137.5,11.5
938,137.5,11
939,136.5,11
940,136.5,11.5
941,135.25,11
942,135.25,11.5
943,134.5,11
944,134.25,11.5
945,134.25,11.5
946,133.5,11.5
947,133.5,12
948,133.5,11.5
949,133.5,12
950,133.75,11.5
951,133.75,12
952,133.25,12
953,133.25,12
954,131.5,12
955,133,12
956,133,12.5
957,132.75,12.5
958,132.75,12.5
959,132.5,12.5
960,132.5,12.5
961,132.75,13
962,132.75,13
963,132.25,13
964,133.5,13
965,133.5,13
966,133.75,13.5
967,133.75,13.5
968,133.5,13.5
969,133.5,13.5
970,135,13.5
971,134,14
972,134,14
973,134.5,14
974,134.5,14.5
975,134.5,15
976,134.5,14
977,133.25,12.5
978,133.25,11.5
979,133.75,11
980,134.25,11.5
981,134.25,10.5
982,135,11.5
983,135,12
984,134.75,12
985,134.75,11
986,134.5,11.5
987,134.5,11.5
988,134,12
989,133.75,12.5
990,133.75,14
991,133.5,14
992,133.5,14.5
993,133,15
994,133,14.5
995,132,15.5
996,132,16
997,132,17.5
998,132.75,17.5
999,132.75,17
1000,132.75,17.5
1001,132.75,17.5
1002,134.75,18
1003,134.75,18
1004,136,18
1005,137,19
1006,137,18.5
1007,137.25,19
1008,137.25,19
1009,139,19.5
1010,139,23.5
1011,138.5,28
1012,139.75,23.5
1013,139.75,18.5
1014,137.5,22
1015,136.75,23
1016,136.75,23.5
1017,136.75,24
1018,137,25.5
1019,135.25,25.5
1020,135.25,26
1021,134.25,28
1022,134.25,28
1023,132,28
1024,132,28.5
1025,129.75,30.5
1026,129.75,30
1027,130.75,30.5
1028,130,32.5
1029,130,33
1030,130.25,33.5
1031,130.25,34
1032,131,35
1033,131,35
1034,132.75,34.5
1035,132.75,36
1036,132.75,36.5
1037,133.25,36.5
1038,133.25,37
1039,134.5,37.5
1040,134.5,38
1041,134.75,37.5
1042,134.75,38
1043,135,38
1044,135,38.5
1045,135.25,36.5
1046,134.25,36.5
1047,134.25,37.5
1048,132.75,35.5
1049,132.75,37.5
1050,131.5,34.5
1051,131.5,31
1052,132.75,31
1053,132.75,30.5
1054,132.25,30.5
1055,132.25,31.5
1056,132.75,32.5
1057,131.5,30
1058,131.5,31
1059,131.5,29.5
1060,131.5,28.5
1061,132.25,28.5
1062,132,29.5
1063,132,30.5
1064,132,30.5
1065,132.25,30.5
1066,132.5,31
1067,132.5,30
1068,132.75,31.5
1069,132.75,30.5
1070,132,32
1071,132,33.5
1072,132,33.5
1073,132,34.5
1074,132,34
1075,133.5,34
1076,133.5,34
1077,132.75,35.5
1078,132.75,35
1079,135.25,33
1080,135.25,31
1081,136.25,30.5
1082,136.25,30.5
1083,136.75,31
1084,136.75,31
1085,136.75,31
1086,137.25,29.5
1087,137.25,29
1088,138.5,28.5
1089,137.75,28.5
1090,137.75,27.5
1091,134.5,27
1092,134.5,27
1093,135,26.5
1094,135,26.5
1095,133.5,27.5
1096,133.5,25.5
1097,134,27
1098,134,25.5
1099,132.75,24
1100,132.75,23.5
1101,132.75,23
1102,133.5,23.5
1103,133.5,22.5
1104,133.25,20.5
1105,133.25,21
1106,134.25,21.5
1107,137,20
1108,137,19.5
1109,137.75,18.5
1110,137.75,18.5
1111,138,18
1112,138,17.5
1113,139.25,17
1114,139.5,17
1115,139.5,17
1116,139.75,15.5
1117,139.75,15.5
1118,140.75,15
1119,141,14.5
1120,141,15
1121,142.75,14.5
1122,142.75,13.5
1123,142.5,13.5
1124,142.5,13
1125,141.25,13
1126,141.5,12.5
1127,141.5,12.5
1128,143,13
1129,143,12
1130,143.25,12
1131,142,11.5
1132,142,11.5
1133,142.5,11.5
1134,142.5,11
1135,143.25,11
1136,143.5,11
1137,143.5,11
1138,143,11
1139,143,10.5
1140,143.25,10.5
1141,143.75,12
1142,143.75,11.5
1143,145.25,11.5
1144,145.25,11.5
1145,145.25,11
1146,146.25,11.5
1147,146.25,12
1148,146.5,12
1149,147,11.5
1150,147,11
1151,147.25,12
1152,147.25,12
1153,147.75,12
1154,148.5,12
1155,148.5,11.5
1156,149,11.5
1157,149,11.5
1158,149,11
1159,149.75,11
1160,149.75,11.5
1161,150,11
1162,150.25,11
1163,150.25,11
1164,151,10.5
1165,150.5,10.5
1166,150.5,10.5
1167,151,10
1168,151,10
1169,149,9
1170,148.75,8.5
1171,148.75,9.5
1172,149,8
1173,148.25,9
1174,148.25,8.5
1175,147.5,7.5
1176,147.5,7
1177,146.75,6.5
1178,147,6
1179,147,5.5
1180,147,5
1181,147.75,5.5
1182,147.75,4.5
1183,148,4
1184,148,5
1185,147.5,4
1186,148.75,3.5
1187,148.75,3
1188,149.5,1.5
1189,149.5,1
1190,149,1.5
1191,148.75,2
1192,148.75,2.5
1193,148.75,2
1194,148.75,1.5
1195,148.75,1.5
1196,149,1.5
1197,149,1.5
1198,147.75,2
1199,147.25,2.5
1200,147.25,3
1201,146.75,2.5
1202,146.75,2
1203,146,3
1204,146.25,3
1205,146.25,3
1206,145.75,3
1207,145.75,2.5
1208,146,3
1209,145,3
1210,145,3
1211,144.75,3.5
1212,144.75,3
1213,143.25,3
1214,143.5,3
1215,143.5,2.5
1216,142.75,3
1217,142.75,2.5
1218,143,2.5
1219,142,3
1220,142,2.5
1221,140.25,3
1222,140.25,3.5
1223,142,3.5
1224,142.75,3.5
1225,142.75,3.5
1226,142.5,3.5
1227,142.5,3.5
1228,143.75,3.5
1229,145,3.5
1230,145,3
1231,145,3
1232,145,2
1233,146,2.5
1234,146.5,3
1235,146.5,2.5
1236,147.75,3
1237,148.5,3
1238,148.5,3
1239,149.75,2.5
1240,149.75,3
1241,150.5,3
1242,151,3
1243,151,3
1244,151,2.5
1245,150.75,3
1246,150.75,3
1247,151.25,3.5
1248,151.25,2.5
1249,152.5,3
1250,153.25,4.5
1251,153.25,5
1252,154.25,5
1253,153.5,5
1254,153.5,5
1255,153,5
1256,152.25,5
1257,152.25,5.5
1258,151.25,5.5
1259,151.25,5.5
1260,149.75,5.5
1261,148.25,5
1262,148.25,4.5
1263,147.75,5
1264,148,5
1265,148,5.5
1266,147.75,5.5
1267,147.75,5.5
1268,147.75,5.5
1269,148.25,5
1270,148.25,5
1271,149,5
1272,149,5
1273,148.75,5
1274,148.5,5.5
1275,148.5,5.5
1276,149,5
1277,149,5
1278,149,5
1279,149.25,5.5
1280,149.25,5.5
1281,149.75,5
1282,150,5
1283,150,4.5
1284,150,4.5
1285,150,5.5
1286,150,5
1287,150.5,6
1288,150.5,5.5
1289,151.25,5
1290,151,5.5
1291,151,5.5
1292,150.75,5.5
1293,150,6
1294,150,6.5
1295,148.25,6
1296,148.25,5.5
1297,148.5,6
1298,147.25,6
1299,147.25,6
1300,147.5,7
1301,146.25,6
1302,146.25,7.5
1303,148,10.5
1304,148,9
1305,147,9
1306,147.25,9.5
1307,147.25,10
1308,146.75,10
1309,146.75,9.5
1310,147,10.5
1311,148,11
1312,148,10.5
1313,148,11
1314,149.75,11
1315,149.75,11
1316,149,12.5
1317,148.75,12
1318,148.75,11
1319,150,11
1320,150,11
1321,150.75,10.5
1322,152.5,10
1323,152.5,10
1324,151.5,9.5
1325,151.5,11
1326,153,12
1327,153.5,14
1328,153.5,16
1329,153.75,13
1330,154.5,9.5
1331,154.5,10
1332,154,11
1333,155.25,11.5
1334,155.25,11.5
1335,156,11.5
1336,155.25,12
1337,155.25,12
1338,155.75,11.5
1339,155.5,11.5
1340,155.5,10
1341,155.5,10
1342,155.5,9.5
1343,155.75,9.5
1344,155.75,9.5
1345,155.75,9
1346,155.5,9.5
1347,155.75,9.5
1348,155.75,9
1349,157,9
1350,157.5,9
1351,157.5,8.5
1352,157.25,8.5
1353,158,8.5
1354,158,9
1355,154.75,9
1356,154.75,9.5
1357,154,9
1358,155.25,8.5
1359,155.25,8
1360,155.5,7
1361,155.5,6.5
1362,155.5,6
1363,154.75,6
1364,154.75,6
1365,154.5,6.5
1366,153.5,7
1367,153.5,7
1368,153.75,7
1369,153.75,6.5
1370,153.75,7
1371,154,7
1372,154,8
1373,153.5,8
1374,152.5,7.5
1375,152.5,8
1376,152.5,9
1377,149.25,9.5
1378,141.75,10
1379,141.75,10.5
1380,135.75,10.5
1381,135.75,10.5
1382,136.75,9
1383,136.75,9
1384,138.75,9.5
1385,140,10
1386,140,9.5
1387,140.5,8.5
1388,140.5,7.5
1389,142.25,7
1390,145,6.5
1391,145,6.5
1392,145,5.5
1393,145,4.5
1394,145,4.5
1395,145.25,5
1396,145.25,5
1397,148,4.5
1398,148,5
1399,147.25,5
1400,148,4.5
1401,148,4.5
1402,150,5
1403,150.25,4.5
1404,150.25,4
1405,151,4.5
1406,151.5,4
1407,151.5,4.5
1408,152.5,4.5
1409,152.5,4
1410,151.75,4
1411,152,4.5
1412,152,4
1413,152.25,4
1414,152.5,4
1415,152.5,4
1416,152.5,4
1417,152.5,4.5
1418,152.5,4.5
1419,152.25,4.5
1420,152.25,5
1421,152.25,5
1422,151.5,5
1423,151.25,5
1424,151.25,5.5
1425,152.25,5.5
1426,152.25,5.5
1427,152.25,6
1428,151.5,6.5
1429,151.5,6.5
1430,150.75,6.5
1431,151,6
1432,151,7
1433,150.75,8.5
1434,150.25,9
1435,150.25,9.5
1436,149,9.5
1437,149,10
1438,150.75,10
1439,150,10.5
1440,150,12
1441,149.25,13
1442,149.25,12
1443,147.5,12.5
1444,147.5,13
1445,150,12
1446,149,12
1447,149,11.5
1448,148.75,13
1449,148.25,13
1450,148.25,12.5
1451,148,12.5
1452,148,12.5
1453,147.25,12
1454,147,12.5
1455,147,12
1456,147,12
1457,147,12.5
1458,147,12.5
1459,147,12
1460,147,12.5
1461,147,12.5
1462,147,13
1463,147,13
1464,146.25,13
1465,146.25,13.5
1466,145.75,13.5
1467,147,13.5
1468,147,13.5
1469,147.5,14.5
1470,147.5,14.5
1471,147.5,15
1472,147.25,15.5
1473,147.25,15.5
1474,148.75,16
1475,149.75,16.5
1476,149.75,15.5
1477,150,16.5
1478,150,18
1479,150,18
1480,150.25,18.5
1481,150.25,20.5
1482,151.75,21
1483,153,21.5
1484,153,22
1485,153.25,22.5
1486,153,23
1487,153,23.5
1488,152.75,24.5
1489,152,25
1490,152,26
1491,151.25,25.5
1492,151.25,25.5
1493,152.25,27
1494,151.5,27
1495,151.5,27
1496,150,27.5
1497,148.75,27
1498,148.75,28.5
1499,148.25,28.5
1500,148.25,29
1501,147.25,28
1502,146.5,28.5
1503,146.5,29
1504,146,30.5
1505,146,31.5
1506,147.25,31.5
1507,147,30.5
1508,147,29.5
1509,146.5,30.5
1510,146.5,27.5
1511,146.5,24.5
1512,145.75,25.5
1513,145.75,25.5
1514,146.25,26
1515,146.25,28.5
1516,145.25,28
1517,146.25,27
1518,146.25,27
1519,146.75,27.5
1520,146.5,28
1521,146.5,28
1522,145.75,29
1523,145.75,28.5
1524,146.25,29.5
1525,145.75,31
1526,145.75,33
1527,146.75,32
1528,146.75,31
1529,145.5,32.5
1530,144,32.5
1531,144,32.5
1532,145.5,31.5
1533,145.5,31.5
1534,146,33
1535,147,32.5
1536,147,30
1537,146.75,31
1538,147,32.5
1539,147,37.5
1540,147,38.5
1541,147,31
1542,148.5,29.5
1543,150.5,35.5
1544,150.5,36
1545,150.25,32
1546,151.75,37
1547,151.75,37.5
1548,151.75,31.5
1549,151.75,34
1550,152.25,38
1551,152,40.5
1552,152,33.5
1553,152.75,36.5
1554,153,38
1555,153,35.5
1556,152.75,38.5
1557,151.75,34.5
1558,151.75,35
1559,151.75,35
1560,151.75,34.5
1561,152.5,33
1562,152,31
1563,152,32
1564,152,31.5
1565,152.25,31.5
1566,152.25,28
1567,152,28.5
1568,152,29
1569,152,29
1570,152.25,28
1571,152.25,27
1572,151.75,29
1573,150.75,30.5
1574,150.75,32.5
1575,151.25,32.5
1576,151.25,31.5
1577,149.25,33
1578,149.5,35
1579,149.5,34.5
1580,146.25,33
1581,145.75,32.5
1582,145.75,33.5
1583,145.5,34.5
1584,145.5,34
1585,146.25,32
1586,146,29.5
1587,146,28.5
1588,147,28.5
1589,147,29
1590,146.25,29
1591,146.75,29.5
1592,146.75,30
1593,146.5,30.5
1594,146.5,31
1595,147,30.5
1596,147.5,30
1597,147.5,30
1598,148,29.5
1599,147.5,29
1600,147.5,28.5
1601,149.75,29.5
1602,149.75,29.5
